,Unnamed: 0,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,0,M3A,North York,Parkwoods,43.752934555000074,-79.33564142299997,2.0,Food & Drink Shop,Park,Dog Run,Fish Market,Fish & Chips Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm
1,1,M4A,North York,Victoria Village,43.72810248500008,-79.31188987099996,1.0,Pizza Place,Coffee Shop,French Restaurant,Intersection,Park,Financial or Legal Service,Portuguese Restaurant,Cosmetics Shop,Dog Run,Field
2,2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.650964109000036,-79.35304116399999,1.0,Pub,Café,Athletics & Sports,Performing Arts Venue,Thai Restaurant,Mediterranean Restaurant,Seafood Restaurant,Mexican Restaurant,Food Truck,French Restaurant
3,3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.72326546500005,-79.45121077799996,1.0,Clothing Store,Cosmetics Shop,Bookstore,Furniture / Home Store,Men's Store,Restaurant,Toy / Game Store,Food Court,American Restaurant,Movie Theater
4,4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.661790000000046,-79.38938999999993,1.0,Coffee Shop,Café,Sandwich Place,Italian Restaurant,Sushi Restaurant,Fried Chicken Joint,Bookstore,Smoothie Shop,Burger Joint,Burrito Place
5,5,M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.66748067300006,-79.52895286499995,2.0,Park,Skating Rink,Baseball Field,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Women's Store,Dog Run
6,6,M1B,Scarborough,"Malvern, Rouge",43.80862623100006,-79.18991284599997,6.0,Trail,Women's Store,Donut Shop,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farm,Distribution Center
7,7,M3B,North York,Don Mills,43.74890000000005,-79.35721999999998,1.0,Athletics & Sports,Trail,Other Great Outdoors,Bank,Restaurant,Jewelry Store,Coffee Shop,Spa,Burger Joint,Park
8,8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.70719267700007,-79.31152927299995,0.0,Pizza Place,Fast Food Restaurant,Athletics & Sports,Pharmacy,Pet Store,Rock Climbing Spot,Café,Gastropub,Bank,Intersection
9,9,M5B,Downtown Toronto,"Garden District, Ryerson",43.65749059800004,-79.37752923699999,1.0,Coffee Shop,Clothing Store,Middle Eastern Restaurant,Sandwich Place,Restaurant,Bar,Italian Restaurant,Café,Hotel,Cosmetics Shop
10,10,M6B,North York,Glencairn,43.70727872700007,-79.44750009299997,0.0,Pizza Place,Pub,Fast Food Restaurant,Gas Station,Japanese Restaurant,Italian Restaurant,Grocery Store,Mediterranean Restaurant,Costume Shop,Creperie
