,Postcode Area,Name,Categories,Address,PostCode,Latitude,Longitude
0,EH1,Apex City of Edinburgh Hotel,Hotel,61 Grassmarket,EH1 2HJ,55.94719767948357,-3.1952823002618853
1,EH1,Radisson Collection Royal Mile Hotel,Hotel,1 George IV Bridge,EH1 1AD,55.9490314,-3.1926764
2,EH1,Apex Grassmarket Hotel,Hotel,31-35 Grassmarket,EH1 2HS,55.947182213085654,-3.196663690160744
3,EH1,Radisson Blu Hotel,Hotel,"80 High Street, The Royal Mile",EH1 1TH,55.950040395885864,-3.186825569719076
4,EH1,Stay Central Hotel,Hotel,139 Cowgate,EH1 1JS,55.948267941328936,-3.1901598055417177
5,EH1,Hotel du Vin,Hotel,11 Bristo Pl,EH1 1EZ,55.946049676815754,-3.190251817516576
6,EH1,Apex Waterloo Place Hotel,Hotel,23-27 Waterloo Pl,EH1 3BH,55.95403378121031,-3.187016884353045
7,EH1,Hotel Indigo Edinburgh,Hotel,51-59 York Place,EH1 3JD,55.956352869404505,-3.188575189687981
8,EH1,Hotel Motel One Edinburgh-Royal,Hotel,18-21 Market St,EH1 1BL,55.950822,-3.19147
9,EH1,The Rutland Hotel,Hotel,1-3 Rutland Street,EH1 2AE,55.95010483654387,-3.207899600323807
10,EH1,The Scotsman Hotel,Hotel,20 North Bridge,EH1 1TR,55.95121469850074,-3.18840765258863
11,EH1,Ritz Hotel,Hotel,14-16 Grosvenor St.,EH12 5EG,55.946967283116635,-3.2175120331973823
12,EH1,West End Hotel,Hotel,35 Palmerston Place,EH12 5AU,55.94956072840477,-3.218651289461836
13,EH1,Best Western Plus Bruntsfield Hotel,Hotel,69-74 Bruntsfield Pl.,EH10 4HH,55.93803644274884,-3.206020137313317
14,EH1,Market Street Hotel,Hotel,6 Market Street,EH1 1DE,55.951125,-3.189595
15,EH1,The Piries Hotel,Hotel,4-8 Coates Gardens,EH1 2 5,55.94629189752165,-3.2214539872069206
16,EH1,Apex Haymarket Hotel,Hotel,90 Haymarket Terrace,EH12 5LQ,55.946024943584966,-3.2230989210216356
17,EH1,Grassmarket Hotel,Hotel,94-96 Grassmarket,EH1 2JR,55.94801071030007,-3.194833677158023
18,EH1,Hotel du Vin & Bistro,Hotel Bar,11 Bristo Place,EH1 1EZ,55.94603502245145,-3.190250546888919
19,EH1,Parliament House Hotel,Hotel,15 Calton Hill,EH1 3BJ,55.95431916516992,-3.1865251609266623
20,EH1,Tailors Hall Hotel,Hotel,139 Cowgate,EH1 1JS,55.94840168952942,-3.1899
21,EH2,Frederick House Hotel,Hotel,42 Frederick Street,EH2 1EX,55.95333772063324,-3.20092035497327
22,EH2,Royal Overseas League Hotel,Hotel,100 Princes St.,EH2 3AB,55.951533348985585,-3.2000902964831597
23,EH2,Mercure Edinburgh City - Princes Street Hotel,Hotel,Princes Street,EH2 2DG,55.952649,-3.19447
24,EH2,Old Waverley Hotel,Hotel,43 Princes St.,EH2 2BY,55.95264814956836,-3.192961203283228
25,EH2,The Balmoral Hotel,Hotel,1 Princes St,EH2 2EQ,55.95311255845786,-3.189509384085317
26,EH2,Hotel Chocolat,Chocolate Shop,7a Frederick St,EH2 2EY,55.95204414612608,-3.1995040433109825
27,EH2,Hotel Indigo Edinburgh - Princes Street,Hotel,20 Princes St,EH2 2AN,55.953283119744995,-3.190774619579315
28,EH2,Hotel Motel One Edinburgh-Princes,Hotel,10-15 Princes St,EH2 2AN,55.953389571416594,-3.190210659739797
29,EH3,Number Ten Hotel,Hotel,10 Gloucester Pl,EH3 6EF,55.956734,-3.206898
30,EH3,Thistle Hotel,Hotel,59 Manor Pl,EH3 7EG,55.9502347,-3.2176232
