,Cluster,Name,Category,Latitude,Longitude
0,0,West Princes Street Gardens,Park,55.9510422770373,-3.199392836566597
1,0,Edinburgh Castle,Castle,55.94881534959578,-3.200283050537109
2,0,Old Town,Neighborhood,55.94950019084528,-3.192805051803589
3,0,Castlehill,Scenic Lookout,55.94881127781256,-3.1965814679169213
4,0,Whiski Rooms,Scottish Restaurant,55.95001521066508,-3.193521992306461
5,0,Oink,Sandwich Place,55.94859191113187,-3.1940986687151307
6,0,Castello Coffee Co,Coffee Shop,55.95119235494766,-3.20280834385289
7,0,Mary's Milk Bar,Ice Cream Shop,55.94706248147531,-3.19752520248515
8,0,Dishoom,Indian Restaurant,55.95372613697486,-3.1925402113583075
9,0,The Bon Vivant,Cocktail Bar,55.953953109249866,-3.1997256996249246
10,0,St. Giles' Cathedral,Church,55.94953083816066,-3.1917161094246205
11,0,The Devil's Advocate,Cocktail Bar,55.950309274554115,-3.1916428793150113
12,0,The Milkman,Coffee Shop,55.950649752152266,-3.191010159156321
13,0,Bramble Bar,Cocktail Bar,55.954961,-3.197522
14,0,The Scott Monument,Monument / Landmark,55.952394112117155,-3.1932690739631653
15,0,Royal Lyceum Theatre,Theater,55.94693631411309,-3.204277181996166
16,0,El Cartel,Mexican Restaurant,55.95390271654916,-3.199936471124075
17,0,BrewDog Edinburgh,Beer Bar,55.94850742783075,-3.1896260278133073
18,0,Lowdown,Café,55.95338585563839,-3.1979357319007042
19,0,The Honours,French Restaurant,55.9536080203923,-3.204223181364253
20,0,Scotch Malt Whisky Society,Whisky Bar,55.95453735388778,-3.199608459706861
21,0,Papii,Breakfast Spot,55.95455426922622,-3.1977882307715646
22,0,Usher Hall,Concert Hall,55.947378927372824,-3.2052812799474
23,0,National Museum of Scotland,Museum,55.947254180629045,-3.189314671482854
24,0,The Royal Mile,Road,55.950028831947044,-3.188567161560058
25,0,Fortitude,Café,55.955843804202516,-3.192544267812503
26,0,Scottish National Portrait Gallery,Art Gallery,55.95567576474659,-3.193455273206641
27,0,BrewDog Lothian Road,Beer Bar,55.94732602351278,-3.206391574625616
28,0,Salt Horse,Beer Bar,55.94917952000274,-3.185646582067153
29,0,Café Class,Café,55.94348775606534,-3.203631484555376
30,0,The Hanging Bat,Beer Bar,55.9454682449346,-3.2053716133807866
31,0,Civerinos Slice,Pizza Place,55.9455123158299,-3.1911388134987613
32,0,Ong Gie,Korean Restaurant,55.942772636518086,-3.201408027799358
33,0,Brew Lab Coffee,Coffee Shop,55.94713207302014,-3.1866846156570974
34,0,The Meadows,Park,55.94069244898043,-3.1940388679504395
35,0,The Voyage Of Buck,Bar,55.94934857126902,-3.2124238189829346
36,0,Calton Hill,Hill,55.95551906388928,-3.182816505432129
37,0,The Last Word Saloon,Cocktail Bar,55.957840786962166,-3.206711364958848
38,0,Queen Street Gardens,Garden,55.95518270445316,-3.1994247436523438
39,0,Stockbridge Market,Farmers Market,55.95778411022222,-3.208432519269774
40,0,Inverleith Park,Park,55.958824178137085,-3.2100714765471134
41,0,The Scran & Scallie,Gastropub,55.959308974026015,-3.2145172736896175
42,0,Dean Gardens,Park,55.95608186115607,-3.2108797901169908
43,0,Union Canal,Canal,55.94278055782153,-3.208527153389126
44,0,Bruntsfield Links,Park,55.937826458806086,-3.204690320761955
45,0,The Blue Bear,Café,55.96231293907968,-3.2002156317884762
46,0,Three Birds,Restaurant,55.93689804443139,-3.2078653854019894
47,0,Artisan Roast,Coffee Shop,55.95928834458666,-3.213847873475556
48,0,King George V Memorial Park,Park,55.960636171977455,-3.1972146034240723
49,0,Stockbridge Tap,Pub,55.95882181680302,-3.2100616172132383
50,0,Holyrood Abbey,Historic Site,55.95311793406101,-3.171658515930176
51,0,Royal Botanic Garden,Botanical Garden,55.964387867352286,-3.212181994454313
52,0,aizle,Restaurant,55.94185382346712,-3.178613373434493
53,0,Artisan Roast,Coffee Shop,55.936586667945456,-3.2080341143058377
54,0,Clarinda's Tea Room,Tea Room,55.95212764783794,-3.177112217572648
55,0,Palace of Holyroodhouse,Palace,55.95266641794869,-3.17168863716688
56,0,Salisbury Crags,Scenic Lookout,55.94496287940986,-3.1717833627069996
57,0,Oink,Sandwich Place,55.952,-3.1769361
58,0,Regent Bar,Gay Bar,55.95631589175795,-3.1721683896757598
59,0,Sainsbury's Local,Grocery Store,55.940570875415176,-3.216899817509069
60,0,Dynamic Earth,Science Museum,55.95062423935599,-3.1743898135740425
61,0,The Manna House Bakery & Patisserie,Bakery,55.95813822459166,-3.171927368706898
62,0,Holyrood Park,Park,55.94758933798445,-3.1638867825915895
63,0,Scottish National Gallery of Modern Art One,Art Gallery,55.95091078132034,-3.2276798017715773
64,0,Glasshouse,Garden,55.96687493467692,-3.2083692800604173
65,0,Kebab Mahal,Indian Restaurant,55.945991021988306,-3.1858065252804706
66,0,Dominion Cinema,Movie Theater,55.93070971170714,-3.2087571762385703
67,0,Edinburgh Bicycle Co-operative,Bike Shop,55.93774861120153,-3.202749832736174
68,0,Voujon,Indian Restaurant,55.93754156384128,-3.177957835102813
